,soc_code,title,task_id,task,task_type,Incumbents Responding,Date,Domain Source,SOC-2digit,SOC Title
1293,13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",12865,"Collect fees, commissions, or other payments, according to contract terms.",Core,135.0,06/2007,Incumbent,13,Business and Financial Operations Occupations
1294,13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",12866,"Confer with clients to develop strategies for their careers, and to explain actions taken on their behalf.",Core,134.0,06/2007,Incumbent,13,Business and Financial Operations Occupations
1295,13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",12867,"Develop contacts with individuals and organizations, and apply effective strategies and techniques to ensure their clients' success.",Core,133.0,06/2007,Incumbent,13,Business and Financial Operations Occupations
1296,13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",12868,Schedule promotional or performance engagements for clients.,Core,133.0,06/2007,Incumbent,13,Business and Financial Operations Occupations
1297,13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",12869,"Negotiate with managers, promoters, union officials, and other persons regarding clients' contractual rights and obligations.",Core,133.0,06/2007,Incumbent,13,Business and Financial Operations Occupations
1298,13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",12870,Keep informed of industry trends and deals.,Core,134.0,06/2007,Incumbent,13,Business and Financial Operations Occupations
1299,13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",12871,"Manage business and financial affairs for clients, such as arranging travel and lodging, selling tickets, and directing marketing and advertising activities.",Core,133.0,06/2007,Incumbent,13,Business and Financial Operations Occupations
1300,13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",12872,Conduct auditions or interviews to evaluate potential clients.,Core,133.0,06/2007,Incumbent,13,Business and Financial Operations Occupations
1301,13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",12873,Arrange meetings concerning issues involving their clients.,Core,134.0,06/2007,Incumbent,13,Business and Financial Operations Occupations
1302,13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",12874,Prepare periodic accounting statements for clients.,Supplemental,133.0,06/2007,Incumbent,13,Business and Financial Operations Occupations
1303,13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",12875,Advise clients on financial and legal matters such as investments and taxes.,Supplemental,133.0,06/2007,Incumbent,13,Business and Financial Operations Occupations
1304,13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",12876,"Obtain information about or inspect performance facilities, equipment, and accommodations to ensure that they meet specifications.",Supplemental,133.0,06/2007,Incumbent,13,Business and Financial Operations Occupations
1305,13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",12877,Hire trainers or coaches to advise clients on performance matters such as training techniques or performance presentations.,Supplemental,133.0,06/2007,Incumbent,13,Business and Financial Operations Occupations
1306,13-1021.00,"Buyers and Purchasing Agents, Farm Products",12878,"Purchase, for further processing or for resale, farm products such as milk, grains, or Christmas trees.",Core,71.0,07/2013,Incumbent,13,Business and Financial Operations Occupations
1307,13-1021.00,"Buyers and Purchasing Agents, Farm Products",12880,Arrange for processing or resale of purchased products.,Core,71.0,07/2013,Incumbent,13,Business and Financial Operations Occupations
1308,13-1021.00,"Buyers and Purchasing Agents, Farm Products",12879,Negotiate contracts with farmers for the production or purchase of farm products.,Core,71.0,07/2013,Incumbent,13,Business and Financial Operations Occupations
1309,13-1021.00,"Buyers and Purchasing Agents, Farm Products",12881,Arrange for transportation or storage of purchased products.,Core,71.0,07/2013,Incumbent,13,Business and Financial Operations Occupations
1310,13-1021.00,"Buyers and Purchasing Agents, Farm Products",12883,"Maintain records of business transactions and product inventories, reporting data to companies or government agencies as necessary.",Core,71.0,07/2013,Incumbent,13,Business and Financial Operations Occupations
1311,13-1021.00,"Buyers and Purchasing Agents, Farm Products",12882,Review orders to determine product types and quantities required to meet demand.,Core,70.0,07/2013,Incumbent,13,Business and Financial Operations Occupations
1312,13-1021.00,"Buyers and Purchasing Agents, Farm Products",12884,"Examine or test crops or products to estimate their value, determine their grade, or locate any evidence of disease or insect damage.",Supplemental,71.0,07/2013,Incumbent,13,Business and Financial Operations Occupations
1313,13-1021.00,"Buyers and Purchasing Agents, Farm Products",12885,"Coordinate or direct activities of workers engaged in cutting, transporting, storing, or milling products and maintaining records.",Supplemental,71.0,07/2013,Incumbent,13,Business and Financial Operations Occupations
1314,13-1021.00,"Buyers and Purchasing Agents, Farm Products",12887,"Sell supplies, such as seed, feed, fertilizers, or insecticides, arranging for loans or financing as necessary.",Supplemental,71.0,07/2013,Incumbent,13,Business and Financial Operations Occupations
