soc_code,title,task_id,task,task_type,Incumbents Responding,Date,Domain Source,SOC-2digit,SOC Title
13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",12865,"Collect fees, commissions, or other payments, according to contract terms.",Core,135.0,06/2007,Incumbent,13,Business and Financial Operations Occupations
13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",12866,"Confer with clients to develop strategies for their careers, and to explain actions taken on their behalf.",Core,134.0,06/2007,Incumbent,13,Business and Financial Operations Occupations
13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",12867,"Develop contacts with individuals and organizations, and apply effective strategies and techniques to ensure their clients' success.",Core,133.0,06/2007,Incumbent,13,Business and Financial Operations Occupations
13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",12868,Schedule promotional or performance engagements for clients.,Core,133.0,06/2007,Incumbent,13,Business and Financial Operations Occupations
13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",12869,"Negotiate with managers, promoters, union officials, and other persons regarding clients' contractual rights and obligations.",Core,133.0,06/2007,Incumbent,13,Business and Financial Operations Occupations
13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",12870,Keep informed of industry trends and deals.,Core,134.0,06/2007,Incumbent,13,Business and Financial Operations Occupations
13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",12871,"Manage business and financial affairs for clients, such as arranging travel and lodging, selling tickets, and directing marketing and advertising activities.",Core,133.0,06/2007,Incumbent,13,Business and Financial Operations Occupations
13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",12872,Conduct auditions or interviews to evaluate potential clients.,Core,133.0,06/2007,Incumbent,13,Business and Financial Operations Occupations
13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",12873,Arrange meetings concerning issues involving their clients.,Core,134.0,06/2007,Incumbent,13,Business and Financial Operations Occupations
13-1021.00,"Buyers and Purchasing Agents, Farm Products",12878,"Purchase, for further processing or for resale, farm products such as milk, grains, or Christmas trees.",Core,71.0,07/2013,Incumbent,13,Business and Financial Operations Occupations
13-1021.00,"Buyers and Purchasing Agents, Farm Products",12880,Arrange for processing or resale of purchased products.,Core,71.0,07/2013,Incumbent,13,Business and Financial Operations Occupations
13-1021.00,"Buyers and Purchasing Agents, Farm Products",12879,Negotiate contracts with farmers for the production or purchase of farm products.,Core,71.0,07/2013,Incumbent,13,Business and Financial Operations Occupations
13-1021.00,"Buyers and Purchasing Agents, Farm Products",12881,Arrange for transportation or storage of purchased products.,Core,71.0,07/2013,Incumbent,13,Business and Financial Operations Occupations
13-1021.00,"Buyers and Purchasing Agents, Farm Products",12883,"Maintain records of business transactions and product inventories, reporting data to companies or government agencies as necessary.",Core,71.0,07/2013,Incumbent,13,Business and Financial Operations Occupations
13-1021.00,"Buyers and Purchasing Agents, Farm Products",12882,Review orders to determine product types and quantities required to meet demand.,Core,70.0,07/2013,Incumbent,13,Business and Financial Operations Occupations
13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",20710,Buy merchandise or commodities for resale to wholesale or retail consumers.,Core,81.0,07/2015,Incumbent,13,Business and Financial Operations Occupations
13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",20711,"Negotiate prices, discount terms, or transportation arrangements with suppliers.",Core,81.0,07/2015,Incumbent,13,Business and Financial Operations Occupations
13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",20712,"Examine, select, order, or purchase merchandise consistent with quality, quantity, specification requirements, or other factors, such as environmental soundness.",Core,81.0,07/2015,Incumbent,13,Business and Financial Operations Occupations
13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",20713,"Recommend mark-up rates, markdown rates, or merchandise selling prices.",Core,81.0,07/2015,Incumbent,13,Business and Financial Operations Occupations
13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",20714,Obtain information about customer needs or preferences by conferring with sales or purchasing personnel.,Core,81.0,07/2015,Incumbent,13,Business and Financial Operations Occupations
13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",68,Authorize payment of invoices or return of merchandise.,Core,82.0,07/2015,Incumbent,13,Business and Financial Operations Occupations
13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",66,"Monitor and analyze sales records, trends, or economic conditions to anticipate consumer buying patterns and determine what the company will sell and how much inventory is needed.",Core,81.0,07/2015,Incumbent,13,Business and Financial Operations Occupations
13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",20715,Collaborate with vendors to obtain or develop desired products.,Core,81.0,07/2015,Incumbent,13,Business and Financial Operations Occupations
13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",20716,"Inspect merchandise or products to determine quality, value, or yield.",Core,82.0,07/2015,Incumbent,13,Business and Financial Operations Occupations
13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",20717,Conduct sales meetings to introduce new merchandise.,Core,81.0,07/2015,Incumbent,13,Business and Financial Operations Occupations
13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",1143,"Prepare purchase orders, solicit bid proposals, and review requisitions for goods and services.",Core,21.0,07/2011,Occupational Expert,13,Business and Financial Operations Occupations
13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",1142,Purchase the highest quality merchandise at the lowest possible price and in correct amounts.,Core,21.0,07/2011,Occupational Expert,13,Business and Financial Operations Occupations
13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",1146,Monitor and follow applicable laws and regulations.,Core,21.0,07/2011,Occupational Expert,13,Business and Financial Operations Occupations
13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",1144,"Research and evaluate suppliers based on price, quality, selection, service, support, availability, reliability, production and distribution capabilities, and the supplier's reputation and history.",Core,21.0,07/2011,Occupational Expert,13,Business and Financial Operations Occupations
13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",1147,"Negotiate, renegotiate, and administer contracts with suppliers, vendors, and other representatives.",Core,21.0,07/2011,Occupational Expert,13,Business and Financial Operations Occupations
