,soc_code,title,task_id,task,task_type,Incumbents Responding,Date,Domain Source,SOC-2digit,SOC Title
2280,15-1111.00,Computer and Information Research Scientists,14623,Analyze problems to develop solutions involving computer hardware and software.,Core,108.0,06/2008,Incumbent,15,Computer and Mathematical Occupations
2281,15-1111.00,Computer and Information Research Scientists,14624,Assign or schedule tasks to meet work priorities and goals.,Core,108.0,06/2008,Incumbent,15,Computer and Mathematical Occupations
2282,15-1111.00,Computer and Information Research Scientists,14625,Evaluate project plans and proposals to assess feasibility issues.,Core,109.0,06/2008,Incumbent,15,Computer and Mathematical Occupations
2283,15-1111.00,Computer and Information Research Scientists,14626,"Apply theoretical expertise and innovation to create or apply new technology, such as adapting principles for applying computers to new uses.",Core,109.0,06/2008,Incumbent,15,Computer and Mathematical Occupations
2284,15-1111.00,Computer and Information Research Scientists,14627,"Consult with users, management, vendors, and technicians to determine computing needs and system requirements.",Core,109.0,06/2008,Incumbent,15,Computer and Mathematical Occupations
2285,15-1111.00,Computer and Information Research Scientists,14628,"Meet with managers, vendors, and others to solicit cooperation and resolve problems.",Core,109.0,06/2008,Incumbent,15,Computer and Mathematical Occupations
2286,15-1111.00,Computer and Information Research Scientists,14629,"Conduct logical analyses of business, scientific, engineering, and other technical problems, formulating mathematical models of problems for solution by computers.",Core,109.0,06/2008,Incumbent,15,Computer and Mathematical Occupations
2287,15-1111.00,Computer and Information Research Scientists,14630,"Develop and interpret organizational goals, policies, and procedures.",Core,109.0,06/2008,Incumbent,15,Computer and Mathematical Occupations
2288,15-1111.00,Computer and Information Research Scientists,14631,Participate in staffing decisions and direct training of subordinates.,Core,109.0,06/2008,Incumbent,15,Computer and Mathematical Occupations
2289,15-1111.00,Computer and Information Research Scientists,14632,"Develop performance standards, and evaluate work in light of established standards.",Core,108.0,06/2008,Incumbent,15,Computer and Mathematical Occupations
2290,15-1111.00,Computer and Information Research Scientists,14633,Design computers and the software that runs them.,Supplemental,109.0,06/2008,Incumbent,15,Computer and Mathematical Occupations
2291,15-1111.00,Computer and Information Research Scientists,14634,"Maintain network hardware and software, direct network security measures, and monitor networks to ensure availability to system users.",Supplemental,109.0,06/2008,Incumbent,15,Computer and Mathematical Occupations
2292,15-1111.00,Computer and Information Research Scientists,14635,"Participate in multidisciplinary projects in areas such as virtual reality, human-computer interaction, or robotics.",Supplemental,109.0,06/2008,Incumbent,15,Computer and Mathematical Occupations
2293,15-1111.00,Computer and Information Research Scientists,14636,"Approve, prepare, monitor, and adjust operational budgets.",Supplemental,109.0,06/2008,Incumbent,15,Computer and Mathematical Occupations
2294,15-1111.00,Computer and Information Research Scientists,14637,"Direct daily operations of departments, coordinating project activities with other departments.",Supplemental,109.0,06/2008,Incumbent,15,Computer and Mathematical Occupations
2295,15-1121.00,Computer Systems Analysts,3470,Expand or modify system to serve new purposes or improve work flow.,Core,123.0,06/2009,Incumbent,15,Computer and Mathematical Occupations
2296,15-1121.00,Computer Systems Analysts,3465,"Test, maintain, and monitor computer programs and systems, including coordinating the installation of computer programs and systems.",Core,122.0,06/2009,Incumbent,15,Computer and Mathematical Occupations
