soc_code,title,task_id,task,task_type,Incumbents Responding,Date,Domain Source,SOC-2digit,SOC Title
15-1111.00,Computer and Information Research Scientists,14623,Analyze problems to develop solutions involving computer hardware and software.,Core,108.0,06/2008,Incumbent,15,Computer and Mathematical Occupations
15-1111.00,Computer and Information Research Scientists,14624,Assign or schedule tasks to meet work priorities and goals.,Core,108.0,06/2008,Incumbent,15,Computer and Mathematical Occupations
15-1111.00,Computer and Information Research Scientists,14625,Evaluate project plans and proposals to assess feasibility issues.,Core,109.0,06/2008,Incumbent,15,Computer and Mathematical Occupations
15-1111.00,Computer and Information Research Scientists,14626,"Apply theoretical expertise and innovation to create or apply new technology, such as adapting principles for applying computers to new uses.",Core,109.0,06/2008,Incumbent,15,Computer and Mathematical Occupations
15-1111.00,Computer and Information Research Scientists,14627,"Consult with users, management, vendors, and technicians to determine computing needs and system requirements.",Core,109.0,06/2008,Incumbent,15,Computer and Mathematical Occupations
15-1111.00,Computer and Information Research Scientists,14628,"Meet with managers, vendors, and others to solicit cooperation and resolve problems.",Core,109.0,06/2008,Incumbent,15,Computer and Mathematical Occupations
15-1111.00,Computer and Information Research Scientists,14629,"Conduct logical analyses of business, scientific, engineering, and other technical problems, formulating mathematical models of problems for solution by computers.",Core,109.0,06/2008,Incumbent,15,Computer and Mathematical Occupations
15-1111.00,Computer and Information Research Scientists,14630,"Develop and interpret organizational goals, policies, and procedures.",Core,109.0,06/2008,Incumbent,15,Computer and Mathematical Occupations
15-1111.00,Computer and Information Research Scientists,14631,Participate in staffing decisions and direct training of subordinates.,Core,109.0,06/2008,Incumbent,15,Computer and Mathematical Occupations
15-1111.00,Computer and Information Research Scientists,14632,"Develop performance standards, and evaluate work in light of established standards.",Core,108.0,06/2008,Incumbent,15,Computer and Mathematical Occupations
15-1121.00,Computer Systems Analysts,3470,Expand or modify system to serve new purposes or improve work flow.,Core,123.0,06/2009,Incumbent,15,Computer and Mathematical Occupations
15-1121.00,Computer Systems Analysts,3465,"Test, maintain, and monitor computer programs and systems, including coordinating the installation of computer programs and systems.",Core,122.0,06/2009,Incumbent,15,Computer and Mathematical Occupations
15-1121.00,Computer Systems Analysts,3477,"Develop, document and revise system design procedures, test procedures, and quality standards.",Core,122.0,06/2009,Incumbent,15,Computer and Mathematical Occupations
15-1121.00,Computer Systems Analysts,3464,"Provide staff and users with assistance solving computer related problems, such as malfunctions and program problems.",Core,122.0,06/2009,Incumbent,15,Computer and Mathematical Occupations
15-1121.00,Computer Systems Analysts,3478,"Review and analyze computer printouts and performance indicators to locate code problems, and correct errors by correcting codes.",Core,123.0,06/2009,Incumbent,15,Computer and Mathematical Occupations
15-1121.00,Computer Systems Analysts,3469,Consult with management to ensure agreement on system principles.,Core,122.0,06/2009,Incumbent,15,Computer and Mathematical Occupations
15-1121.00,Computer Systems Analysts,3467,Confer with clients regarding the nature of the information processing or computation needs a computer program is to address.,Core,120.0,06/2009,Incumbent,15,Computer and Mathematical Occupations
15-1121.00,Computer Systems Analysts,3480,"Read manuals, periodicals, and technical reports to learn how to develop programs that meet staff and user requirements.",Core,121.0,06/2009,Incumbent,15,Computer and Mathematical Occupations
15-1121.00,Computer Systems Analysts,3468,Coordinate and link the computer systems within an organization to increase compatibility and so information can be shared.,Core,122.0,06/2009,Incumbent,15,Computer and Mathematical Occupations
15-1121.00,Computer Systems Analysts,3472,Determine computer software or hardware needed to set up or alter system.,Core,120.0,06/2009,Incumbent,15,Computer and Mathematical Occupations
15-1121.00,Computer Systems Analysts,3481,Supervise computer programmers or other systems analysts or serve as project leaders for particular systems projects.,Core,121.0,06/2009,Incumbent,15,Computer and Mathematical Occupations
15-1121.00,Computer Systems Analysts,3475,Assess the usefulness of pre-developed application packages and adapt them to a user environment.,Core,121.0,06/2009,Incumbent,15,Computer and Mathematical Occupations
