,soc_code,title,task_id,task,task_type,Incumbents Responding,Date,Domain Source,SOC Title
0,11-0000,Chief Executives,8823,"Direct or coordinate an organization's financial or budget activities to fund operations, maximize investments, or increase efficiency.",Core,87.0,07/2014,Incumbent,Management Occupations
1,11-0000,Chief Executives,8831,Appoint department heads or managers and assign or delegate responsibilities to them.,Core,87.0,07/2014,Incumbent,Management Occupations
2,11-0000,Chief Executives,8825,"Analyze operations to evaluate performance of a company or its staff in meeting objectives or to determine areas of potential cost reduction, program improvement, or policy change.",Core,87.0,07/2014,Incumbent,Management Occupations
3,11-0000,Chief Executives,8826,"Direct, plan, or implement policies, objectives, or activities of organizations or businesses to ensure continuing operations, to maximize returns on investments, or to increase productivity.",Core,87.0,07/2014,Incumbent,Management Occupations
4,11-0000,Chief Executives,8827,"Prepare budgets for approval, including those for funding or implementation of programs.",Core,87.0,07/2014,Incumbent,Management Occupations
5,11-0000,Chief Executives,8824,"Confer with board members, organization officials, or staff members to discuss issues, coordinate activities, or resolve problems.",Core,87.0,07/2014,Incumbent,Management Occupations
6,11-0000,Chief Executives,8836,Implement corrective action plans to solve organizational or departmental problems.,Core,87.0,07/2014,Incumbent,Management Occupations
7,11-0000,Chief Executives,8832,"Direct human resources activities, including the approval of human resource plans or activities, the selection of directors or other high-level staff, or establishment or organization of major departments.",Core,86.0,07/2014,Incumbent,Management Occupations
8,11-0000,Chief Executives,8835,Establish departmental responsibilities and coordinate functions among departments and sites.,Core,86.0,07/2014,Incumbent,Management Occupations
9,11-0000,Chief Executives,8833,"Preside over or serve on boards of directors, management committees, or other governing boards.",Core,87.0,07/2014,Incumbent,Management Occupations
10,11-0000,Chief Executives,8829,"Negotiate or approve contracts or agreements with suppliers, distributors, federal or state agencies, or other organizational entities.",Core,87.0,07/2014,Incumbent,Management Occupations
11,11-0000,Chief Executives,8837,"Coordinate the development or implementation of budgetary control systems, recordkeeping systems, or other administrative control processes.",Core,87.0,07/2014,Incumbent,Management Occupations
12,11-0000,Chief Executives,8830,Review reports submitted by staff members to recommend approval or to suggest changes.,Core,87.0,07/2014,Incumbent,Management Occupations
13,11-0000,Chief Executives,8839,"Deliver speeches, write articles, or present information at meetings or conventions to promote services, exchange ideas, or accomplish objectives.",Core,87.0,07/2014,Incumbent,Management Occupations
14,11-0000,Chief Executives,8843,"Interpret and explain policies, rules, regulations, or laws to organizations, government or corporate officials, or individuals.",Core,87.0,07/2014,Incumbent,Management Occupations
15,11-0000,Chief Executives,8834,"Prepare or present reports concerning activities, expenses, budgets, government statutes or rulings, or other items affecting businesses or program services.",Core,86.0,07/2014,Incumbent,Management Occupations
16,11-0000,Chief Executives,20461,"Review and analyze legislation, laws, or public policy and recommend changes to promote or support interests of the general population or special groups.",Core,87.0,07/2014,Incumbent,Management Occupations
17,11-0000,Chief Executives,8846,"Administer programs for selection of sites, construction of buildings, or provision of equipment or supplies.",Core,87.0,07/2014,Incumbent,Management Occupations
18,11-0000,Chief Executives,8848,Direct or conduct studies or research on issues affecting areas of responsibility.,Core,87.0,07/2014,Incumbent,Management Occupations
19,11-0000,Chief Executives,8828,"Direct or coordinate activities of businesses or departments concerned with production, pricing, sales, or distribution of products.",Supplemental,87.0,07/2014,Incumbent,Management Occupations
20,11-0000,Chief Executives,8844,"Make presentations to legislative or other government committees regarding policies, programs, or budgets.",Supplemental,87.0,07/2014,Incumbent,Management Occupations
21,11-0000,Chief Executives,8845,Refer major policy matters to elected representatives for final decisions.,Supplemental,87.0,07/2014,Incumbent,Management Occupations
22,11-0000,Chief Executives,8847,Direct or coordinate activities of businesses involved with buying or selling investment products or financial services.,Supplemental,87.0,07/2014,Incumbent,Management Occupations
23,11-0000,Chief Executives,8851,Conduct or direct investigations or hearings to resolve complaints or violations of laws or testify at such hearings.,Supplemental,87.0,07/2014,Incumbent,Management Occupations
24,11-0000,Chief Executives,8838,"Direct non-merchandising departments, such as advertising, purchasing, credit, or accounting.",Supplemental,87.0,07/2014,Incumbent,Management Occupations
25,11-0000,Chief Executives,8853,Prepare bylaws approved by elected officials and ensure that bylaws are enforced.,Supplemental,86.0,07/2014,Incumbent,Management Occupations
26,11-0000,Chief Executives,8840,"Serve as liaisons between organizations, shareholders, and outside organizations.",Supplemental,87.0,07/2014,Incumbent,Management Occupations
27,11-0000,Chief Executives,8849,Attend and participate in meetings of municipal councils or council committees.,Supplemental,86.0,07/2014,Incumbent,Management Occupations
28,11-0000,Chief Executives,8852,Represent organizations or promote their objectives at official functions or delegate representatives to do so.,Supplemental,86.0,07/2014,Incumbent,Management Occupations
29,11-0000,Chief Executives,8850,Organize or approve promotional campaigns.,Supplemental,87.0,07/2014,Incumbent,Management Occupations
30,11-0000,Chief Executives,8842,Nominate citizens to boards or commissions.,Supplemental,87.0,07/2014,Incumbent,Management Occupations
31,11-0000,Chief Sustainability Officers,15384,"Develop or execute strategies to address issues such as energy use, resource conservation, recycling, pollution reduction, waste elimination, transportation, education, and building design.",Core,26.0,07/2013,Occupational Expert,Management Occupations
32,11-0000,Chief Sustainability Officers,15372,Supervise employees or volunteers working on sustainability projects.,Core,26.0,07/2013,Occupational Expert,Management Occupations
